Name,RA,Dec,D,z,Origin,F60,F70,F100,F160,F250,F350,F500,sigma60,sigma70,sigma100,sigma160,sigma250,sigma350,sigma500,L_IR
HATLAS J113952.2-011924,174.967731,-1.32338,1.940222395232877e+25,0.15309,H-ATLAS,,,180.6706511792075,195.64647955591977,121.881,50.929,17.857000000000003,,,41.3164,47.9445,7.332,8.208,8.809000000000001,
HATLAS J120127.8-004310,180.365902,-0.719674,2.6196614350684934e+24,0.02067,H-ATLAS,,,297.10342667037247,739.282074723065,112.866,85.106,48.611000000000004,,,138.863,121.788,7.148,8.033999999999999,8.533000000000001,
HATLAS J115519.5-012851,178.831416,-1.481,1.8117107021917806e+25,0.14295,H-ATLAS,,,220.37501856207848,295.8486602497287,126.73899999999999,59.876,14.232,,,51.400800000000004,56.368500000000004,7.598,8.168999999999999,8.618,
HATLAS J115059.3-004146,177.747289,-0.69617,4.1311313080547955e+25,0.32596,H-ATLAS,,,127.27365117920749,116.34647955591977,116.56700000000001,53.748,26.834,,,41.3164,47.9445,7.196,8.193000000000001,8.626,
HATLAS J113622.3-005749,174.093245,-0.963861,9.850028385753423e+24,0.07772,H-ATLAS,,,308.3916511792075,264.61047955591977,129.502,56.569,25.517000000000003,,,41.3164,47.9445,7.452,8.055,8.573,
HATLAS J120711.8+001149,181.799426,0.197086,5.19534500279452e+25,0.40993,H-ATLAS,,,174.21665117920747,299.00847955591973,116.34400000000001,64.345,39.758,,,41.3164,47.9445,7.287,8.175999999999998,8.69,
HATLAS J120817.1-012123,182.071609,-1.356624,1.358624604931507e+25,0.1072,H-ATLAS,,,238.0086511792075,230.90247955591977,122.83099999999999,48.395,14.174000000000001,,,41.3164,47.9445,7.405,8.030000000000001,8.826,
HATLAS J120844.2-003226,182.184376,-0.540698,7.931224606027396e+24,0.06258,H-ATLAS,,,146.7006511792075,169.10747955591975,112.247,45.47,19.754,,,41.3164,47.9445,7.154,8.08,8.685,
HATLAS J114139.1-012211,175.413122,-1.369755,3.504034801972603e+25,0.27648,H-ATLAS,,,140.42065117920748,228.53547955591978,116.83399999999999,71.542,29.000999999999998,,,41.3164,47.9445,7.296,8.087,8.81,
HATLAS J120149.7-015328,180.4573,-1.891232,1.1493812072876715e+25,0.09069,H-ATLAS,,,319.4176511792075,275.4924795559198,120.031,42.503,14.686,,,29.2151,33.9019,7.28,8.147,8.964,
HATLAS J115112.0-020531,177.800336,-2.092101,2.0608763713424656e+25,0.16261,H-ATLAS,,,128.0346511792075,217.77747955591977,119.206,61.31,26.689,,,41.3164,47.9445,7.263999999999999,8.121,8.635,
HATLAS J120106.6-001911,180.277743,-0.319974,1.2701619207671232e+25,0.10022,H-ATLAS,,,192.1326511792075,213.17847955591975,125.437,53.763,14.091,,,29.2151,33.9019,7.462,8.377,8.658000000000001,
HATLAS J115346.2+001946,178.442617,0.32971,6.050442037260274e+24,0.04774,H-ATLAS,,,121.02373720850133,275.27051441005955,118.809,54.214999999999996,14.727,,,209.86993657329603,179.7712614125888,7.367,8.112,8.72,
HATLAS J114253.8+000943,175.72454,0.162116,2.3408392213698631e+24,0.01847,H-ATLAS,,,257.5659844413586,327.7400237624571,111.762,66.027,29.913999999999998,,,63.3035,65.1271,7.067,7.9319999999999995,8.415000000000001,
HATLAS J120708.0+000923,181.783415,0.156509,1.4299777441643834e+25,0.11283,H-ATLAS,,,145.71865117920748,137.56947955591977,120.009,52.456999999999994,23.810000000000002,,,41.3164,47.9445,7.31,8.113999999999999,8.529,
HATLAS J122656.2-011157,186.734277,-1.199186,9.173226116897809e+24,0.072379805,H-ATLAS,,,175.926100968346,301.49993489203604,116.559,64.929,37.248000000000005,,,67.4812,68.4679,7.332,8.222,8.605,
HATLAS J114046.9+003044,175.195681,0.51241,1.3474717163835615e+25,0.10632,H-ATLAS,,,203.0306511792075,258.3624795559198,120.825,64.883,28.444,,,41.3164,47.9445,7.405,8.213,8.848,
